Validation Epoch = 1, MSE = 6.235184726476531(e-3), rho = 0.6208432726318153, tau=0.46050525222021993, prec_10 = 0.1292857142857143, prec_20 = 0.22857142857142856

Validation Epoch = 2, MSE = 3.63364981651172(e-3), rho = 0.778399250493229, tau=0.6031771467536897, prec_10 = 0.28500000000000003, prec_20 = 0.3925

Validation Epoch = 3, MSE = 3.6466538938104556(e-3), rho = 0.7929572313508647, tau=0.6181527121588493, prec_10 = 0.29714285714285715, prec_20 = 0.4114285714285714

Validation Epoch = 4, MSE = 2.9850944371129486(e-3), rho = 0.8147748893944167, tau=0.6424415112106897, prec_10 = 0.3771428571428571, prec_20 = 0.4639285714285715

Validation Epoch = 5, MSE = 3.0938304551376246(e-3), rho = 0.8092390534862349, tau=0.6361880408487978, prec_10 = 0.3992857142857143, prec_20 = 0.47

Validation Epoch = 6, MSE = 2.9757644789689524(e-3), rho = 0.8148485743880033, tau=0.6423181205656489, prec_10 = 0.4064285714285715, prec_20 = 0.4896428571428571

Validation Epoch = 7, MSE = 2.717556285766697(e-3), rho = 0.8341444251326797, tau=0.6625184680077283, prec_10 = 0.4335714285714287, prec_20 = 0.500357142857143

Validation Epoch = 8, MSE = 3.094997100894541(e-3), rho = 0.8321073491670264, tau=0.6599040475378697, prec_10 = 0.4407142857142857, prec_20 = 0.5146428571428571

Validation Epoch = 9, MSE = 2.7639762137963917(e-3), rho = 0.8387713163258942, tau=0.6679200558505026, prec_10 = 0.44214285714285706, prec_20 = 0.5228571428571429

Validation Epoch = 10, MSE = 3.153979013111295(e-3), rho = 0.8388942229877513, tau=0.6683361745652916, prec_10 = 0.44071428571428567, prec_20 = 0.51

Validation Epoch = 11, MSE = 2.687261885213361(e-3), rho = 0.8417749753544578, tau=0.671098826165311, prec_10 = 0.4585714285714286, prec_20 = 0.5271428571428572

Validation Epoch = 12, MSE = 2.4446183213427863(e-3), rho = 0.8491332601612461, tau=0.6801133245661034, prec_10 = 0.4564285714285714, prec_20 = 0.5371428571428571

Validation Epoch = 13, MSE = 2.490574150644947(e-3), rho = 0.8488973362915309, tau=0.6799896092088387, prec_10 = 0.47285714285714286, prec_20 = 0.5603571428571428

Validation Epoch = 14, MSE = 2.461322208831202(e-3), rho = 0.8464527680810814, tau=0.6776938937866316, prec_10 = 0.49214285714285716, prec_20 = 0.5682142857142857

Validation Epoch = 15, MSE = 2.5178895573264346(e-3), rho = 0.8515955733933889, tau=0.6837022064195608, prec_10 = 0.4928571428571429, prec_20 = 0.565

Validation Epoch = 16, MSE = 2.349447234133487(e-3), rho = 0.8548002736375362, tau=0.6878655041969056, prec_10 = 0.4957142857142858, prec_20 = 0.5764285714285714

Validation Epoch = 17, MSE = 2.3529651056578715(e-3), rho = 0.8520438995500808, tau=0.6837525368142484, prec_10 = 0.5235714285714286, prec_20 = 0.5810714285714286

Validation Epoch = 18, MSE = 2.454177438297205(e-3), rho = 0.8517771746820259, tau=0.6839825954248048, prec_10 = 0.4849999999999998, prec_20 = 0.5589285714285714

Validation Epoch = 19, MSE = 2.3994732692490777(e-3), rho = 0.852782481413021, tau=0.6850960336401865, prec_10 = 0.4807142857142857, prec_20 = 0.5628571428571427

Validation Epoch = 20, MSE = 2.3624862046391732(e-3), rho = 0.8584739096234868, tau=0.6917138311171724, prec_10 = 0.4921428571428571, prec_20 = 0.5928571428571429

Validation Epoch = 21, MSE = 2.272445015604529(e-3), rho = 0.8570700097679762, tau=0.6909656941535565, prec_10 = 0.5142857142857142, prec_20 = 0.5964285714285714

Validation Epoch = 22, MSE = 2.361753234277879(e-3), rho = 0.856920131552414, tau=0.6891766921565763, prec_10 = 0.515, prec_20 = 0.5789285714285715

Validation Epoch = 23, MSE = 2.2734261682500905(e-3), rho = 0.8583869974273305, tau=0.6904539476888608, prec_10 = 0.4971428571428571, prec_20 = 0.5685714285714285

Validation Epoch = 24, MSE = 2.2167496679964427(e-3), rho = 0.8599525079449405, tau=0.6942553536927898, prec_10 = 0.512142857142857, prec_20 = 0.5932142857142858

Validation Epoch = 25, MSE = 2.1905782906297633(e-3), rho = 0.8610924329595556, tau=0.694978325459062, prec_10 = 0.5014285714285713, prec_20 = 0.5792857142857143

Validation Epoch = 26, MSE = 2.295406022284183(e-3), rho = 0.8592757016184667, tau=0.6929063367590474, prec_10 = 0.48500000000000004, prec_20 = 0.5735714285714285

Validation Epoch = 27, MSE = 2.4802505669244246(e-3), rho = 0.855227566772036, tau=0.6877627327780754, prec_10 = 0.5014285714285713, prec_20 = 0.5728571428571428

Validation Epoch = 28, MSE = 2.28043992901458(e-3), rho = 0.8613253152552696, tau=0.6952726770899291, prec_10 = 0.5092857142857142, prec_20 = 0.595

